id,guid,name,katWasSum,latitude,longitude,einsAktiv,einsDeutschlandweit,ort,autoLfNr,refLfNrTraeger,validierung,einsKeineNeuenKlienten,einsGeoeffnetDurchgehend,einsGeoeffnetNachVereinbarung,neueKlientenApi,art,typ,strasse,hausnummer,zusatz,plz,fax,telefon,email,homePage,beschreibung,zielgruppen,oeffnungszeiten,arbeitszeiten,landkreis,kat_Verfuegbarkeit,quelle,modifiedBy,createdBy,Kat_Diagnosen,Kat_Konstellation,Kat_Kosten,Kat_PersonRolle,Kat_Sprache,Kat_Themen,Kat_Was,Kat_WasDetail,Kat_Zielgruppe,Kat_Ort,Öffnungszeiten_Montag,Öffnungszeiten_Dienstag,Öffnungszeiten_Mittwoch,Öffnungszeiten_Donnerstag,Öffnungszeiten_Freitag,Öffnungszeiten_Samstag,Öffnungszeiten_Sonntag,Themen,Kat_Haeufigkeit,Kat_Barriere,Kat_PersonAlter
3,c56d5426-ad34-4cf4-bcc9-2786560d3f12,SHG Seelenschnupfen,Selbsthilfe,50.3765359,8.1204535,True,False,Limburg an der Lahn,Angeb007,F11684,updated Kleinigkeiten,False,False,False,ja,Vereinsgruppe,Selbsthilfe,Kirchfedler Str.,21,,65551,,0176-68783910,seelenschnupfen@mut-gruppen.de,https://www.mut-gruppen.de/seelenschnupfen,,,an jedem 2. Mittwoch im Monat,,Landkreis Limburg-Weilburg,,,,,,In einer Gruppe,es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme,Selbsthilfe,Selbsthilfegruppen und -projekte,Betroffene; Erwachsene,Vor Ort,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
13,3ab20c7e-0922-4bd1-a206-5c10d93bc525,BgD Bündnis gegen Depression im Kreis Groß-Gerau,Selbsthilfe,49.9750011,8.56842,True,False,,AT-041,AT-035,alles uptodate,False,False,False,,Sonstig,,,44,,,,06105 - 96 67 73,buendnis-depression.kreisgg@spv-gg.de,https://www.bgd-gg.de/,,,,,Kreis Groß-Gerau,,,,,FF10,In einer Gruppe; Nur Du,es entstehen keine Kosten / kostenlos,Beruflich Helfende,Deutsch,Psychische Probleme; Depression; Interessensvertretungen,Selbsthilfe,Selbsthilfegruppen und -projekte,Angehörige; Betroffene; Erwachsene,Vor Ort; Online / Digital / Telefonisch,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
14,1cec72e7-8c3c-4963-829b-3255f6d0890f,BgD Bündnis gegen Depression Münster,Selbsthilfe,51.969581399999996,7.635526920238107,True,False,Münster,AT-088,AT-088,alles uptodate,False,False,False,,Sonstig,,Stühmerweg,8,,48147,,0251 / 492 5388,heitkoetter@stadt-muenster.de,https://www.deutsche-depressionshilfe.de/regionale-angebote/muenster/start,,,,,,,,,,FF10,In einer Gruppe; Nur Du,es entstehen keine Kosten / kostenlos,Beruflich Helfende,Deutsch,Psychische Probleme; Depression; Interessensvertretungen,Selbsthilfe,Selbsthilfegruppen und -projekte,Angehörige; Betroffene; Erwachsene,Vor Ort; Online / Digital / Telefonisch,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
16,bb3cbf90-cae3-40ad-9f50-3eee7ea5482b,Darmstädter Bündnis gegen Depression e.V.,Selbsthilfe,49.8823663,8.678985,True,False,Darmstadt,AT-115,AT-115,alles uptodate,False,False,False,,Sonstig,,Dieburger Straße,"200",,64287,,0176-298 48 573 ,da-buendnis@gmx.de,http://www.buendnisgegendepression-darmstadt.de,,,,,,,,,,FF10,Nur Du; In einer Gruppe,es entstehen keine Kosten / kostenlos,Beruflich Helfende,Deutsch,Depression; Interessensvertretungen; Psychische Probleme,Selbsthilfe,Selbsthilfegruppen und -projekte,Angehörige; Betroffene,Vor Ort; Online / Digital / Telefonisch,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
15,091452ce-279f-46e7-817d-6554e8debb29,BgD Bochumer Bündnis gegen Depression e.V.,Selbsthilfe,51.49027595,7.228818682513813,True,False,Bochum,AT-102,AT-102,alles uptodate,False,False,False,,Sonstig,,Alexandrinenstr.,1,,44791,,0234 50 77 11 06,info@bochumer-buendnis-depression.de,https://bochumer-buendnis-depression.de/,,,,,,,,,,FF10,In einer Gruppe; Nur Du,es entstehen keine Kosten / kostenlos,Beruflich Helfende,Deutsch,Psychische Probleme; Depression; Interessensvertretungen,Selbsthilfe,Selbsthilfegruppen und -projekte,Angehörige; Betroffene; Erwachsene,Vor Ort; Online / Digital / Telefonisch,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
19,b23ed31d-6cdb-4449-b9e1-cbf21f79a964,Sozialpsychiatrischer Dienst Fürth,Beratung,49.46680085,11.0125,True,False,Fürth,AT-134,AT-134,updated mehr,False,False,False,,Partner,,Frankenstraße,12,,90762,,0911 9756670,info@sozialpsychiatrischer-dienst-fuerth.de,https://www.sozialpsychiatrischer-dienst-fuerth.de,,"AB",,,,,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme,Beratung,Sozialpsychiatrische Dienste,Erwachsene; Betroffene; Angehörige,"Vor Ort; Bei Dir (""aufsuchend""); Online / Digital / Telefonisch",08:00:00-17:00:00,08:00:00-17:00:00,08:00:00-17:00:00,08:00:00-17:00:00,08:00:00-12:00:00,Geschlossen,Geschlossen,Depression; Psychische Erkrankungen ,,Rollstuhlgerecht,
21,71e086e9-89d2-47ea-abed-9a14ec4c58cb,Klinik für Psychiatrie und Psychotherapie Oberhausen,Psychiatrische Behandlung,51.477051349999996,6.862844866497124,True,False,Oberhausen,AT-161,AT-161,alles uptodate,False,False,False,,Partner,,Mülheimer Straße,83,,46045,,+49 208 837-0,info@ob.ameos.de,https://www.ameos.eu/standorte/ameos-west/oberhausen/ameos-klinikum-st-josef-oberhausen/leistungen/einrichtungen/,,,,,,,,,,Diagnose-übergreifend,In einer Gruppe; Nur Du,durch Krankenkasse (anteilig) möglich,,Deutsch,Psychische Probleme; Depression,Psychiatrische Behandlung,Stationäre und teilstationäre Angebote,Betroffene; Erwachsene,Vor Ort,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
17,7dcb9671-6db7-4491-9fb9-3fb5b8b53d03,Krisen- und Lebensberatung Frankfurt am Main,Beratung,50.1195074,8.68430569493513,True,False,Frankfurt am Main,AT-130,AT-130,alles uptodate,False,False,False,,Partner,,Eschenheimer Anlage,"21",,60318,,+49 69 1501-108,lebensberatung@hdv-ffm.de,https://www.hdv-ffm.de/beratung/krisen-und-lebensberatung/,,,"Montag bis Freitag von 10 bis 13 Uhr und von 15 bis 17 UhrT +49 69 1501-234",,,,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Ehe-/Familien-/Lebensberatung; Psychische Probleme,Beratung,Allgemeine Beratung,Betroffene; Angehörige,Vor Ort; Online / Digital / Telefonisch,09:00:00-17:30:00,09:00:00-17:30:00,09:00:00-17:30:00,09:00:00-17:30:00,09:00:00-17:30:00,Geschlossen,Geschlossen,,,,
22,d3447bb4-8b92-4fc2-a42c-f73dae3a2195,"Klinik für Psychiatrie, Sozialpsychiatrie und Psychotherapie Hannover",Psychiatrische Behandlung,52.3855684,9.804278977439028,True,False,Hannover,AT-189,AT-015,updated Kleinigkeiten,False,False,False,,Partner,,Carl-Neuberg-Str.,1,,30625,,(0511) 532-5000,Psychiatrie.Aufnahmemanagement@mh-hannover.de,https://www.mhh.de/kliniken-und-spezialzentren/klinik-fuer-psychiatrie-sozialpsychiatrie-und-psychotherapie,,,,,Region Hannover,,,,,Diagnose-übergreifend,In einer Gruppe; Nur Du,durch Krankenkasse (anteilig) möglich,,Deutsch,Depression; Psychische Probleme,Psychiatrische Behandlung,Stationäre und teilstationäre Angebote,Betroffene; Erwachsene,Vor Ort,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
18,54218b49-5761-4617-8e49-5f1bad9cf780,Psychosoziale Kontakt- und Beratungsstelle Frankfurt am Main,Beratung,50.0975809,8.6907716,True,False,Frankfurt am Main,AT-131,AT-131,updated Kleinigkeiten,False,False,False,,Partner,,Darmstädter Landstraße,104,,60598,,069612117,pskb@bsf-frankfurt.de,https://www.bsf-frankfurt.de/psychosoziale-beratung/,,"AB",Offene Sprechstunde: Mittwoch zwischen 14:00 – 15:30 Uhr,,,,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme,Beratung,Allgemeine Beratung,Betroffene; Angehörige,Vor Ort; Online / Digital / Telefonisch,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Depression; Psychische Erkrankungen ,,,
28,0f4600d4-dd3f-4b25-9dbe-c0d98ddee433,Beratungsstelle Engelsgrube Lübeck,Beratung,53.8715811,10.686202216131697,True,False,Lübeck,AT-325,AT-325,updated Kleinigkeiten,False,False,True,,Partner,,Engelsgrube,"47",,23552,,0451/ 14008-70,beratungsstelle@die-bruecke.de,https://www.die-bruecke.de/beratungsstelle/,,,"Mo+Mi 9.00-17.00 UhrDi+Do 9.00-17.30 UhrFr 9.00-16.00 Uhrund nach Vereinbarung",,,,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme,Beratung,Allgemeine Beratung,Betroffene; Angehörige; Beruflich Helfende,Vor Ort; Online / Digital / Telefonisch,09:30:00-17:00:00,09:30:00-17:00:00,09:30:00-17:00:00,09:30:00-17:00:00,09:30:00-16:00:00,Geschlossen,Geschlossen,,,,
23,d1c79021-ab07-4287-a2f0-25dc67335e8b,Bündnis gegen Depression Peine,Selbsthilfe,52.32753695,10.225744595418758,True,False,Peine,AT-192,AT-193,updated mehr,False,False,False,,Sonstig,,Hopfenstraße,4,,31224,,+49 5171 401 513 8,buendnis-depression@landkreis-peine.de,https://www.landkreis-peine.de/Soziales-Bildung/Gesundheitsamt/Gesundheitsf%C3%B6rderung-Gesundheitsberichterstattung/B%C3%BCndnis-gegen-Depression,,"BA",,,Landkreis Peine,,,,,FF10,In einer Gruppe; Nur Du,es entstehen keine Kosten / kostenlos,Beruflich Helfende,Deutsch,Psychische Probleme; Interessensvertretungen; Depression,Selbsthilfe,Selbsthilfegruppen und -projekte,Angehörige; Betroffene; Erwachsene,Vor Ort,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Depression,,,
26,8229a2b8-a4e0-49e5-9d3c-9a2d01354934,Sozialpsychiatrischer Dienst Landkreis Cuxhaven,Beratung,53.86640655,8.679358749999999,True,False,Cuxhaven,AT-308,AT-308,updated Kleinigkeiten,False,False,False,,Partner,,Vincent-Lübeck-Straße,1,,27474,,04721 662910,spdi@landkreis-cuxhaven.de,https://www.landkreis-cuxhaven.de/Themenbereiche/Soziales/Sozialpsychiatrischer-Dienst/,,,"Mo.-Do. 08:30-15:30 UhrFreitag 08:30-12:00 Uhr",,Landkreis Cuxhaven,,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme,Beratung,Sozialpsychiatrische Dienste,Betroffene; Angehörige,"Vor Ort; Bei Dir (""aufsuchend""); Online / Digital / Telefonisch",08:30:00-15:30:00,08:30:00-15:30:00,08:30:00-15:30:00,08:30:00-15:30:00,08:30:00-12:00:00,Geschlossen,Geschlossen,,,,
24,4df467b0-9262-42c3-b08a-2ec20ef4d94f,BgD Bündnis gegen Depression Gifhorn,Selbsthilfe,52.4851343,10.537635081403687,True,False,Gifhorn,AT-197,F12210,updated mehr,False,False,False,,Sonstig,,Allerstr.,21,,38518  ,,05371 / 82725,anja.lenz-rosenthal@gifhorn.de,https://www.buendnis-depression-hildesheim.de/index.php/kontakt.html,,,,,Landkreis Gifhorn,,,,,FF10,In einer Gruppe; Nur Du,es entstehen keine Kosten / kostenlos,Beruflich Helfende,Deutsch,Psychische Probleme; Depression; Interessensvertretungen,Selbsthilfe,Selbsthilfegruppen und -projekte,Angehörige; Betroffene; Erwachsene,Vor Ort; Online / Digital / Telefonisch,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
27,96a0f91f-60f1-4965-9c57-ec8adef944a1,Psychosoziale Frauenberatungsstelle Kiel,Beratung,54.32606865,10.124985726141887,True,False,Kiel,AT-312,AT-312,updated Kleinigkeiten,False,False,False,,Partner,,Goethestraße,9,,24116,,0431 5579344,psychosozial@donna-klara.de,http://www.donna-klara.de/navi_vertikal1.html,,,,,,,,,,Diagnose-übergreifend,Nur Du,es entstehen keine Kosten / kostenlos; Durch Dich,,Deutsch,Psychische Probleme; LGBTQIA+,Beratung,Allgemeine Beratung,Angehörige; Betroffene; Frauen,Vor Ort; Online / Digital / Telefonisch,09:00:00-11:00:00,09:00:00-11:00:00,09:00:00-11:00:00,15:00:00-17:00:00,10:00:00-12:00:00,Geschlossen,Geschlossen,,,,
36,336f1d42-38da-4ffc-bb25-8d6343b4383a,Zentrum für seelische Gesundheit Karlsruhe,"Beratung,Freizeit- und Arbeitsangebote",49.012476199999995,8.396646443062323,True,False,Karlsruhe,AT-398,AT-398,updated mehr,False,False,False,,Sonstig,,Stephanienstraße,16,,76133,,+49 721 20 39 71 41,zentrum@dw-karlsruhe.de,https://www.caritas-karlsruhe.de/caritas-karlsruhe/unsere-einrichtungen/zentrum-fuer-seelische-gesundheit/,,,,,,,,,,,In einer Gruppe; Nur Du,,,Deutsch,Psychische Probleme,Beratung; Freizeit- und Arbeitsangebote,Allgemeine Beratung; (Beschäftigungs-)Tagesstätten,Erwachsene; Betroffene,Vor Ort,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
29,0c90d608-99f2-4b10-ae6f-e1bbb21f616e,Sozialpsychiatrischer Dienst Landkreis Nordwestmecklenburg,Beratung,53.8925615,11.472338208101295,True,False,Wismar,AT-335,AT-335,updated Kleinigkeiten,False,False,False,,Partner,,Rostocker Str.,76,,23970,,+49 3841 3040-5321,M.Schumacher@nordwestmecklenburg.de,https://www.nordwestmecklenburg.de/de/sozialpsychiatrischer_dienst.html,,,,,Landkreis Nordwestmecklenburg,,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme; Depression; Sucht,Beratung,Sozialpsychiatrische Dienste,Betroffene; Angehörige,"Vor Ort; Bei Dir (""aufsuchend"")",Geschlossen,09:00:00-12:00:00,Geschlossen,09:00:00-12:00:00,Geschlossen,Geschlossen,Geschlossen,,,,
35,c8238444-a762-40b8-b86f-c3b26e4b8f3b,Sozialpsychiatrischer Dienst Baden-Baden,Beratung,48.7440709,8.259185301513732,True,False,Baden-Baden,AT-393,AT-393,updated mehr,False,False,False,,Partner,,Geroldsauer Str.,2,,76534,,07221 92394-51,wolf@caritas-baden-baden.de,https://caritas-baden-baden.de/psychische-gesundheit/,,,,,,,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme,Beratung,Sozialpsychiatrische Dienste,Angehörige; Betroffene; Erwachsene,"Vor Ort; Bei Dir (""aufsuchend""); Online / Digital / Telefonisch",Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
32,932394f3-76fb-4ad6-a208-a1bd7587fd7e,"Werkstatt für psychisch beinträchtigte Menschen, Friedrichshafen",Freizeit- und Arbeitsangebote,47.6536265,9.482931704413641,True,False,Friedrichshafen,AT-379,F64797,updated mehr,False,False,False,,Partner,,Paulinenstraße,12,,88046,,07541 4094-140,info@gpz-fn.de,https://www.gpz-fn.de/berufliche-teilhabe-bildung/btb-angebote,"Arbeitsangebote in den Bereichen Industrielle Fertigung, Handwerksdienste, Gastro & Tagung sowie Papierwelt für Menschen mit psychischer Behinderung oder als Rehablitationsmaßnahme für Menschen, die nach einer psychischen Erkrankung wieder auf dem Arbeitsmarkt Fuß fassen wollen.",,,,Bodenseekreis,,,,,,In einer Gruppe,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme; Arbeit,Freizeit- und Arbeitsangebote,Arbeit und Ausbildung,Erwachsene; Betroffene,Vor Ort,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
31,5f6d968d-a1a5-40cc-9d93-674db9a5fabb,"Sozialpsychiatrischer Dienst, Friedrichshafen",Beratung,47.6536265,9.482931704413641,True,False,Friedrichshafen,AT-378,AT-378,updated mehr,False,False,False,,Partner,,Paulinenstraße,12,,88046,,07541 4094213,andrea.luca@pauline13.de,https://www.pauline13.de/ambulante-dienste,"In Friedrichshafen und in den Orten Eriskirch, Immenstaad, Kressbronn, Langenargen, Meckenbeuren, Neukirch, Oberteuringen und Tettnang.Beratung von Menschen mit psychischer Erkrankung und ihren Angehörigen (als Einzel- und Gruppenberatung), Aufklärung über die Angebote der Region und präventive Projekte, Krisenintervention, Heranführung an bedarfsgerechte Hilfen. . Mittwochs von 13-15 Uhr unter der Rufnummer 0175 34 47 173 telefonische Sprechstunde für Erstberatungen.",,,,"Bodenseekreis",,,,,,Nur Du,Es entstehen keine Kosten / kostenlos,,Deutsch,Psychische Probleme,Beratung,Sozialpsychiatrische Dienste,Angehörige; Betroffene; Beruflich Helfende; Erwachsene,"Vor Ort; Bei Dir (""aufsuchend""); Online / Digital / Telefonisch",Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,Geschlossen,,,,
